Process name: screen_9
Created at: Sun Aug  3 01:53:32 2025
At time : Sun Aug  3 01:54:10 2025 using core 2 : 33 71
At time : Sun Aug  3 01:54:10 2025 using core 2 : 33 71
At time : Sun Aug  3 01:54:10 2025 using core 2 : 33 71
At time : Sun Aug  3 01:54:10 2025 using core 2 : 33 71
At time : Sun Aug  3 01:54:10 2025 using core 2 : 33 71
At time : Sun Aug  3 01:54:10 2025 using core 2 : 33 71
At time : Sun Aug  3 01:54:11 2025 using core 2 : 33 71
At time : Sun Aug  3 01:54:11 2025 using core 2 : 33 71
At time : Sun Aug  3 01:54:11 2025 using core 2 : 33 71
At time : Sun Aug  3 01:54:11 2025 using core 1 : 33 71
At time : Sun Aug  3 01:54:11 2025 using core 1 : 33 71
At time : Sun Aug  3 01:54:11 2025 using core 1 : 33 71
At time : Sun Aug  3 01:54:11 2025 using core 1 : 33 71
At time : Sun Aug  3 01:54:11 2025 using core 1 : 33 71
At time : Sun Aug  3 01:54:11 2025 using core 1 : 33 71
At time : Sun Aug  3 01:54:11 2025 using core 1 : 33 71
At time : Sun Aug  3 01:54:11 2025 using core 1 : 33 71
At time : Sun Aug  3 01:54:11 2025 using core 1 : 33 71
At time : Sun Aug  3 01:54:11 2025 using core 1 : 33 71
At time : Sun Aug  3 01:54:12 2025 using core 0 : 33 71
At time : Sun Aug  3 01:54:12 2025 using core 0 : 33 71
At time : Sun Aug  3 01:54:12 2025 using core 0 : 33 71
