Process name: screen_9
Created at: Sat Aug  2 23:55:53 2025
At time : Sat Aug  2 23:56:18 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:18 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:18 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:18 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:18 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:20 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:20 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:20 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:20 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:20 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:20 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:20 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:20 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:20 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:20 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:21 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:21 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:21 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:21 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:21 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:21 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:21 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:21 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:21 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:21 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:23 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:23 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:23 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:23 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:23 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:23 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:23 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:23 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:23 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:23 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:24 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:24 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:24 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:24 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:24 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:24 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:24 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:24 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:24 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:24 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:26 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:26 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:26 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:26 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:26 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:26 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:26 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:26 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:26 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:26 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:27 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:27 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:27 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:27 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:27 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:27 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:27 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:27 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:27 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:27 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:29 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:29 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:29 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:29 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:29 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:29 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:29 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:29 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:29 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:29 2025 using core 0 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:30 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:30 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:30 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:30 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:30 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:30 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:30 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:30 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:30 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:30 2025 using core 3 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:32 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:32 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:32 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:32 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:32 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:32 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:32 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:32 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:32 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:32 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:33 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:33 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:33 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:33 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:33 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:33 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:33 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:34 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:34 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:34 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:35 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:35 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:35 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:35 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:35 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:35 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:35 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:35 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:35 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:35 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:36 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:36 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:36 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:36 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:36 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:36 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:36 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:37 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:37 2025 using core 1 : SRTF then RR at Time Slice 9
